Ga0394399_contigs	Ensifer terangae SEMIA 6460
GCF_000283235.1_MetPar_1.0_genomic	Methylocystis parvus OBBP
GCF_000284375.1_ASM28437v1_genomic	Bradyrhizobium japonicum USDA  6
GCF_000298315.2_ASM29831v2_genomic	Rhizobium grahamii CCGE 502
GCF_000300335.1_ASM30033v1_genomic	Nitratireductor pacificus pht-3B
GCF_000300515.1_ASM30051v1_genomic	Nitratireductor indicus C115
GCF_000308295.2_Ab_34632_genomic	Afipia birgiae 34632
GCF_000312525.1_ASM31252v1_genomic	Bartonella florencae R4
GCF_000312545.1_ASM31254v1_genomic	Bartonella senegalensis OS02
GCF_000312565.1_ASM31256v2_genomic	Bartonella rattaustraliani AUST/NH4
GCF_000312605.1_ASM31260v2_genomic	Bartonella rattimassiliensis 15908
GCF_000314675.2_Afip_broo_ATCC_49717_V1_genomic	Afipia broomeae ATCC 49717
GCF_000314735.2_Afip_feli_felis_ATCC_53690_V1_genomic	Afipia felis ATCC 53690
GCF_000325745.1_ASM32574v1_genomic	Liberibacter crescens BT-1
GCF_000330885.1_ASM33088v1_genomic	Rhizobium tropici CIAT 899
GCF_000336555.1_Afip_clev_ATCC49720_G12581_V1_genomic	Afipia clevelandensis ATCC 49720
GCF_000341355.1_ASM34135v1_genomic	Bartonella australis Aust/NH1
GCF_000344805.1_ASM34480v1_genomic	Bradyrhizobium oligotrophicum S58
GCF_000350085.1_ASM35008v1_genomic	Mesorhizobium metallidurans STM 2683
GCF_000359745.1_Rhizobium_sp._genomic	Rhizobium freirei PRF 81
GCF_000369945.1_Bruc_abor_544_V1_genomic	Brucella abortus 544
GCF_000372845.1_ASM37284v1_genomic	Methylocystis rosea SV97
GCF_000373025.1_ASM37302v1_genomic	Rhizobium gallicum bv. gallicum R602sp
GCF_000374145.1_ASM37414v1_genomic	Neomegalonema perideroedes DSM 15528
GCF_000374525.1_ASM37452v1_genomic	Amorphus coralli DSM 19760
GCF_000376125.1_ASM37612v1_genomic	Martelella mediterranea DSM 17316
GCF_000379145.1_ASM37914v1_genomic	Bradyrhizobium elkanii USDA 76
GCF_000379605.1_ASM37960v1_genomic	Rhizobium giardinii bv. giardinii H152
GCF_000380505.1_ASM38050v1_genomic	Kaistia granuli DSM 23481
GCF_000382705.1_ASM38270v1_genomic	Aureimonas ureilytica DSM 18598 
GCF_000383415.1_ASM38341v1_genomic	Hyphomicrobium zavarzinii ATCC 27496
GCF_000384965.1_BBbMcIrM01_genomic	Bartonella bovis 91-4
GCF_000385335.1_ASM38533v1_genomic	Methyloferula stellata AR4
GCF_000419765.1_ASM41976v1_genomic	Rhizobium mongolense USDA 1844
GCF_000421645.1_ASM42164v1_genomic	Aurantimonas coralicida DSM  14790
GCF_000421945.1_genome_genomic	Agrobacterium radiobacter DSM 30147
GCF_000422965.1_ASM42296v1_genomic	Pleomorphomonas oryzae DSM 16300
GCF_000423225.1_ASM42322v1_genomic	Kaistia adipata DSM 17808
GCF_000423365.1_ASM42336v1_genomic	Maritalea myrionectae DSM 19524
GCF_000425185.1_ASM42518v1_genomic	Pleomorphomonas koreensis DSM 23070
GCF_000426285.1_ASM42628v1_genomic	Rhizobium leucaenae USDA 9039
GCF_000427445.1_ASM42744v1_genomic	Methylocapsa acidiphila B2
GCF_000427465.1_ASM42746v1_genomic	Sinorhizobium arboris LMG 14919
GCF_000429045.1_ASM42904v1_genomic	Salinarimonas rosea DSM 21201
GCF_000429865.1_ASM42986v1_genomic	Cucumibacter marinus DSM 18995
GCF_000472705.1_ASM47270v1_genomic	Mesorhizobium erdmanii USDA 3471
GCF_000472985.1_ASM47298v1_genomic	Bradyrhizobium japonicum USDA 6
GCF_000473085.1_ASM47308v1_genomic	Azorhizobium doebereinerae UFLA1-100
GCF_000496075.1_LuBa1.0_genomic	Lutibaculum baratangense AMV1
GCF_000503895.1_ASM50389v1_genomic	Hyphomicrobium nitrativorans NL23
GCF_000518085.1_ASM51808v1_genomic	Bartonella grahamii ATCC 700132
GCF_000518105.1_ASM51810v1_genomic	Bartonella vinsonii subsp. berkhoffii ATCC 51672
GCF_000518165.1_ASM51816v1_genomic	Bartonella elizabethae F9251 = ATCC 49927
GCF_000518185.1_ASM51818v1_genomic	Bartonella clarridgeiae ATCC 51734
GCF_000518585.1_ASM51858v1_genomic	Agrobacterium larrymoorei AF3.10 = ATCC 51759
GCF_000518665.1_ASM51866v1_genomic	Microvirga flocculans ATCC BAA-817
GCF_000518785.1_ASM51878v1_genomic	Rhizobium selenitireducens ATCC BAA-1503
GCF_000526895.1_ASM52689v1_genomic	Bartonella doshiae NCTC 12862 = ATCC 700133
GCF_000577275.2_LPU83_genomic	Rhizobium favelukesii LPU83
GCF_000615975.1_ASM61597v1_genomic	Nitratireductor aquibiodomus NL21 = JCM 21793
GCF_000621665.1_ASM62166v1_genomic	Rhizobium undicola ORS 992 = ATCC 700741
GCF_000636015.1_ASM63601v1_genomic	Rhodomicrobium udaipurense JA643
GCF_000662035.2_Bceti2.0_genomic	Brucella ceti B1/94
GCF_000688235.1_ASM68823v1_genomic	Terasakiella pusilla DSM 6293
GCF_000688515.1_ASM68851v1_genomic	Afifella pfennigii DSM 17143
GCF_000696095.1_ASM69609v1_genomic	Agrobacterium rhizogenes NBRC 13257
GCF_000697965.2_ASM69796v2_genomic	Ensifer adhaerens Casida A
GCF_000705355.1_SOAPdenovo_for_version_1.05_of_Rhizobium_marinus_MGL06_genomic	Rhizobium marinum MGL06
GCF_000706625.1_Bart_koeh_C29_V1_genomic	Bartonella koehlerae C-29
GCF_000706645.1_Bart_roch_BMGH_V1_genomic	Bartonella rochalimae ATCC BAA-1498
GCF_000712255.1_Bneotomae2.0_genomic	Brucella neotomae 5K33  
GCF_000722615.1_ASM72261v1_genomic	Pseudorhizobium pelagicum R1-200B4
GCF_000731315.1_RG540_Ch_pA_genomic	Neorhizobium galegae bv. orientalis HAMBI 540
GCF_000732195.1_ASM73219v1_genomic	Rhizobium vignae CCBAU 05176
GCF_000739695.1_ASM73969v1_genomic	Tepidicaulis marinus MA2
GCF_000739935.1_ASM73993v1_genomic	Agrobacterium rubi TR3 = NBRC 13261
GCF_000740335.1_ASM74033v1_genomic	Brucella canis RM6/66
GCF_000740415.1_ASM74041v1_genomic	Brucella melitensis bv. 1 16M
GCF_000742005.1_ASM74200v1_genomic	Brucella suis 1330
GCF_000742255.1_ASM74225v1_genomic	Brucella neotomae 5K33
GCF_000743575.1_ASM74357v1_genomic	Devosia riboflavina IFO13584
GCF_000745425.1_ASM74542v1_genomic	Beijerinckia mobilis UQM 1969
GCF_000746085.1_ASM74608v1_genomic	Methylocapsa aurea UQM 1969
GCF_000757795.1_ASM75779v1_genomic	Methylobacterium oryzae CBMB20
GCF_000828475.1_ASM82847v1_genomic	Methyloceanibacter caenitepidi Gela4
GCF_000949865.1_ASM94986v1_genomic	Rhizobium nepotum 39/7
GCF_000960975.1_ASM96097v1_genomic	Martelella endophytica YC6887
GCF_000969415.1_ASM96941v1_genomic	Devosia geojensis BD-c194
GCF_000969445.1_ASM96944v1_genomic	Devosia chinhatensis IPL18
GCF_000970435.1_ASM97043v1_genomic	Devosia limi DSM 17137
GCF_000970455.1_ASM97045v1_genomic	Devosia soli GH2-10
GCF_000970465.2_ASM97046v2_genomic	Devosia insulae DS-56
GCF_000971275.1_ASM97127v1_genomic	Devosia psychrophila Cr7-05
GCF_000971295.1_ASM97129v1_genomic	Devosia epidermidihirudinis E84
GCF_001006805.1_Microvirga_massiliensis_JC119_genomic	Microvirga massiliensis JC119
GCF_001017175.1_ASM101717v1_genomic	Microvirga vignae BR3299
GCF_001043885.1_ASM104388v1_genomic	Methylobacterium platani JCM 14648
GCF_001043895.1_ASM104389v1_genomic	Methylobacterium indicum SE2.11
GCF_001043915.1_ASM104391v1_genomic	Methylobacterium aquaticum DSM 16371
GCF_001043955.1_ASM104395v1_genomic	Methylobacterium tarhaniae DSM 25844
GCF_001043975.1_ASM104397v1_genomic	Methylobacterium variabile DSM 16961
GCF_001050155.1_ASM105015v1_genomic	Nitratireductor soli ZZ-1
GCF_001050495.1_ASM105049v1_genomic	Microvirga massiliensis 
GCF_001187535.1_ASM118753v1_genomic	Rhizobium ecuadorense CNPSO 671
GCF_001189235.2_ASM118923v2_genomic	Bradyrhizobium embrapense SEMIA 6208
GCF_001189245.1_ASM118924v1_genomic	Bradyrhizobium pachyrhizi PAC 48
GCF_001189845.1_ASM118984v1_genomic	Bradyrhizobium tropiciagri SEMIA 6148
GCF_001238275.1_ASM123827v1_genomic	Bradyrhizobium viridifuturi SEMIA 690
GCF_001281405.1_ASM128140v1_genomic	Bartonella ancashensis 20.00
GCF_001305515.1_ASM130551v1_genomic	Prosthecomicrobium hirschii 16
GCF_001402875.1_ASM140287v1_genomic	Blastochloris viridis ATCC 19567
GCF_001418005.1_ASM141800v1_genomic	Chelatococcus sambhunathii DSM  18167
GCF_001440035.1_ABySSBR3351v1_genomic	Bradyrhizobium manausense BR 3351
GCF_001440395.1_ASM144039v1_genomic	Bradyrhizobium jicamae PAC68
GCF_001440405.1_ASM144040v1_genomic	Bradyrhizobium valentinum LmjM3
GCF_001440415.1_ASM144041v1_genomic	Bradyrhizobium retamae Ro19
GCF_001440475.1_ASM144047v1_genomic	Bradyrhizobium lablabi CCBAU 23086
GCF_001461695.1_ASM146169v1_genomic	Sinorhizobium fredii USDA 205
GCF_001463825.1_ASM146382v1_genomic	Aurantimonas coralicida DSM 14790
GCF_001463845.1_ASM146384v1_genomic	Fulvimarina pelagi DSM 15513
GCF_001463865.1_ASM146386v1_genomic	Aurantimonas manganoxydans SI85-9A1 DSM 21871
GCF_001463885.1_ASM146388v1_genomic	Aureimonas altamirensis DSM 21988
GCF_001463905.1_ASM146390v1_genomic	Aureimonas frigidaquae JCM 14755
GCF_001463945.1_ASM146394v1_genomic	Aureimonas ureilytica DSM 18598 = NBRC 106430
GCF_001517345.1_JGI_assembly_genomic	Chelatococcus sambhunathii DSM 18167
GCF_001525625.2_ASM152562v2_genomic	Bartonella henselae Houston-1 FDAARGOS_175
GCF_001541305.1_ASM154130v1_genomic	Agrobacterium tumefaciens NCPPB 3001
GCF_001541315.1_ASM154131v1_genomic	Agrobacterium tumefaciens B6
GCF_001541345.2_ASM154134v2_genomic	Agrobacterium vitis NCPPB 3554
GCF_001542405.1_ASM154240v1_genomic	Rhizobium altiplani BR 10423
GCF_001542415.1_ASM154241v1_genomic	Bradyrhizobium macuxiense BR 10303
GCF_001548155.2_BV133_assembly_1.0_genomic	Blastochloris viridis DSM 133
GCF_001558695.1_ASM155869v1_genomic	Paramesorhizobium deserti A-3-E
GCF_001559035.2_ASM155903v2_genomic	Bartonella bacilliformis FDAARGOS_174
GCF_001605015.1_ASM160501v1_genomic	Aminobacter aminovorans KCTC 2477
GCF_001641335.1_ASM164133v1_genomic	Bradyrhizobium stylosanthis BR 446
GCF_001641635.1_ASM164163v1_genomic	Bradyrhizobium centrolobii BR 10245
GCF_001641695.1_ASM164169v1_genomic	Bradyrhizobium neotropicale BR 10247
GCF_001642675.1_ASM164267v1_genomic	Bradyrhizobium diazoefficiens USDA 110
GCF_001650025.1_De_novo_genomic	Devosia elaeis S37
GCF_001651855.1_ASM165185v1_genomic	Sinorhizobium americanum CFNEI 156
GCF_001651865.1_ASM165186v1_genomic	Ensifer glycinis CCBAU 23380
GCF_001651875.1_ASM165187v1_genomic	Sinorhizobium saheli LMG 7837
GCF_001653715.1_ASM165371v1_genomic	Methylobacterium platani PMB02
GCF_001687365.1_ASM168736v1_genomic	Pararhizobium polonicum F5.1
GCF_001693385.1_ASM169338v1_genomic	Bradyrhizobium icense LMTR 13
GCF_001693515.2_ASM169351v2_genomic	Bradyrhizobium paxllaeri LMTR 21
GCF_001703635.1_ASM170363v1_genomic	Hoeflea olei JC234
GCF_001708935.1_Meth_hal_C2_1.0_genomic	Methyloligella halotolerans VKM B-2706
GCF_001720135.1_MpPK2_01_genomic	Methylobrevis pamukkalensis PK2
GCF_001723275.1_ASM172327v1_genomic	Ensifer alkalisoli  YIC4027
GCF_001723285.1_ASM172328v1_genomic	Methyloceanibacter methanicus R-67174
GCF_001723295.1_ASM172329v1_genomic	Methyloceanibacter marginalis R-67177
GCF_001723305.1_ASM172330v1_genomic	Methyloceanibacter superfactus R-67175
GCF_001723355.1_ASM172335v1_genomic	Methyloceanibacter stevinii R-67176
GCF_001741865.1_ASM174186v1_genomic	Bosea vaviloviae Vaf18
GCF_001885585.1_ASM188558v1_genomic	Pararhizobium antarcticum NAQVI 59
GCF_001889605.1_ASM188960v1_genomic	Mesorhizobium oceanicum B7
GCF_001927285.1_ASM192728v1_genomic	Mongoliimonas terrestris MIMtkB18
GCF_001931685.1_ASM193168v1_genomic	Rhizobium arenae MIM27
GCF_001936175.1_ASM193617v1_genomic	Methylobacterium phyllosphaerae  CBMB27
GCF_001938945.1_ASM193894v1_genomic	Rhizobium rhizosphaerae MH17
GCF_001938985.1_ASM193898v1_genomic	Rhizobium taibaishanense 14971
GCF_001939045.1_ASM193904v1_genomic	Rhizobium oryziradicis N19
GCF_001952075.1_ASM195207v1_genomic	Bartonella apis PEB0122
GCF_001953055.1_ASM195305v1_genomic	Salaquimonas pukyongi RR3-28
GCF_001982635.1_ASM198263v1_genomic	Bradyrhizobium mercantei SEMIA 6399
GCF_002000045.1_ASM200004v1_genomic	Rhizobium flavum  YW14
GCF_002008165.1_ASM200816v1_genomic	Rhizobium laguerreae FB206
GCF_002008215.1_ASM200821v1_genomic	Agrobacterium tumefaciens LMG 140
GCF_002008225.1_ASM200822v1_genomic	Agrobacterium salinitolerans YIC 5082
GCF_002008275.1_ASM200827v1_genomic	Rhizobium pusense NRCPB10
GCF_002008365.1_ASM200836v1_genomic	Rhizobium leguminosarum bv.  Viciae USDA 2370
GCF_002022685.1_ASM202268v1_genomic	Bartonella schoenbuchensis R1
GCF_002043005.1_ASM204300v1_genomic	Martelella mediterranea DSM 17316 MACL11
GCF_002068095.1_ASM206809v1_genomic	Bradyrhizobium sacchari p9-20
GCF_002075885.1_ASM207588v1_genomic	Pseudaminobacter manganicus JH-7
GCF_002119765.1_ASM211976v1_genomic	Pseudorhodoplanes sinuspersici RIPI110
GCF_002204185.1_ASM220418v1_genomic	Rhizobium esperanzae CNPSo 668
GCF_002238045.1_ASM223804v1_genomic	Notoacmeibacter marinus XMTR2A4
GCF_002252445.1_ASM225244v1_genomic	Ochrobactrum thiophenivorans DSM 7216
GCF_002252475.1_ASM225247v1_genomic	Ochrobactrum rhizosphaerae PR17
GCF_002252505.1_ASM225250v1_genomic	Ochrobactrum grignonense OgA9a
GCF_002252525.1_ASM225252v1_genomic	Ochrobactrum pseudogrignonense CCUG 30717
GCF_002252535.1_ASM225253v1_genomic	Ochrobactrum lupini LUP21
GCF_002266435.2_ASM226643v2_genomic	Bradyrhizobium amphicarpaeae 39S1MB
GCF_002266465.2_ASM226646v2_genomic	Bradyrhizobium symbiodeficiens 85S1MB
GCF_002270415.1_ASM227041v1_genomic	Mesorhizobium sophorae ICMP 19535
GCF_002278035.1_ASM227803v1_genomic	Ochrobactrum quorumnocens A44
GCF_002278135.2_ASM227813v2_genomic	Bradyrhizobium ottawaense OO99
GCF_002284535.1_ASM228453v1_genomic	Mesorhizobium wenxiniae WYCCWR 10195
GCF_002284575.1_ASM228457v1_genomic	Mesorhizobium temperatum SDW018
GCF_002288525.1_ASM228852v1_genomic	Ensifer sojae CCBAU 05684 CCBAU 05684
GCF_002355335.1_ASM235533v1_genomic	Variibacter gotjawalensis GJW-30
GCF_002529485.1_ASM252948v1_genomic	Mesorhizobium sanjuanii BSA136
GCF_002531855.1_ASM253185v1_genomic	Rhizobium hidalgonense FH14 
GCF_002727065.1_ASM272706v1_genomic	Zhengella mangrovi X9-2-2
GCF_002741015.1_ASM274101v1_genomic	Microvirga ossetica V5/3m
GCF_002750855.1_ASM275085v1_genomic	Pararhizobium haloflavum XC0140
GCF_002752655.1_ASM275265v1_genomic	Methylosinus trichosporium OB3b
GCF_002759055.1_ASM275905v1_genomic	Methylobacterium frigidaeris IER25-16
GCF_002764115.1_ASM276411v1_genomic	Phyllobacterium zundukense Tri-48; RCAM 03910
GCF_002770725.1_ASM277072v1_genomic	Pleomorphomonas carboxyditropha SVCO-16
GCF_002795245.1_ASM279524v1_genomic	Bradyrhizobium forestalis INPA54B
GCF_002844595.1_ASM284459v1_genomic	Pleomorphomonas diazotrophica  R5-392
GCF_002866925.1_ASM286692v1_genomic	Cohaesibacter celericrescens H1304
GCF_002879535.1_ASM287953v2_genomic	Mesorhizobium intechi BD68
GCF_002893625.1_ASM289362v1_genomic	Mangrovicella endophytica 5T4P-12-1
GCF_002896715.1_ASM289671v1_genomic	Agrobacterium bohemicum R90
GCF_002914525.1_ASM291452v1_genomic	Rhizobium hidalgonense FH14
GCF_002915175.1_ASM291517v1_genomic	Agrobacterium rosae NCPPB 1650
GCF_002930635.1_ASM293063v1_genomic	Kaistia algarum LYH11
GCF_002937075.1_ASM293707v1_genomic	Rhodoblastus sphagnicola DSM 16996
GCF_002937135.1_ASM293713v1_genomic	Rhodoblastus acidophilus DSM  137
GCF_002968575.1_ASM296857v1_genomic	Neorhizobium huautlense DSM 21817
GCF_002968635.1_ASM296863v1_genomic	Neorhizobium alkalisoli DSM 21826
GCF_002980495.1_ASM298049v1_genomic	Phyllobacterium phragmitis 1N-3
GCF_002980555.1_ASM298055v1_genomic	Phyllobacterium myrsinacearum  DSM 5892
GCF_003010935.1_ASM301093v1_genomic	Phyllobacterium endophyticum  PEPV15
GCF_003010955.1_ASM301095v1_genomic	Phyllobacterium brassicacearum STM 196
GCF_003010965.1_ASM301096v1_genomic	Phyllobacterium sophorae CCBAU 03422
GCF_003012705.1_ASM301270v1_genomic	Mesorhizobium soli JCM 19897
GCF_003012745.1_ASM301274v1_genomic	Mesorhizobium ephedrae 6GN-30
GCF_003024595.1_ASM302459v1_genomic	Mesorhizobium plurifarium LMG 11892
GCF_003024615.1_ASM302461v1_genomic	Mesorhizobium loti LMG 6125
GCF_003034915.1_ASM303491v1_genomic	Mesorhizobium helmanticense CSLC115N
GCF_003046475.1_ASM304647v1_genomic	Mycoplana dimorpha DSM 7138
GCF_003049685.1_ASM304968v2_genomic	Ochrobactrum pituitosum  CCUG 50899
GCF_003053845.1_ASM305384v1_genomic	Breoghania corrubedonensis DSM 23382
GCF_003056345.1_ASM305634v1_genomic	Devosia submarina JCM 18935
GCF_003056405.1_ASM305640v1_genomic	Devosia indica IO390501
GCF_003058325.1_ASM305832v1_genomic	Methylobacterium currus PR1016A
GCF_003058385.1_ASM305838v1_genomic	Rhizobium leguminosarum bv. viciae USDA 2370
GCF_003096615.1_ASM309661v1_genomic	Methylobacterium organophilum DSM 760
GCF_003113265.1_ASM311326v1_genomic	Methylosinus sporium  DSM 17706
GCF_003122325.1_ASM312232v1_genomic	Rhizobium album NS-104
GCF_003148475.1_ASM314847v1_genomic	Pseudaminobacter salicylatoxidans DSM 6986
GCF_003148495.1_ASM314849v1_genomic	Mesorhizobium loti DSM 2626
GCF_003149475.2_ASM314947v2_genomic	Oceaniradius stylonematis StC1
GCF_003173715.1_ASM317371v1_genomic	Methylobacterium durans 17SD2-17
GCF_003173755.1_ASM317375v1_genomic	Methylobacterium terrae 17Sr1-28
GCF_003182235.1_ASM318223v1_genomic	Phyllobacterium myrsinacearum IAM 13584
GCF_003182275.1_ASM318227v1_genomic	Hoeflea marina DSM 16791
GCF_003201475.1_ASM320147v1_genomic	Chelatococcus asaccharovorans DSM 6462
GCF_003205195.1_ASM320519v1_genomic	Rhizobium wuzhouense W44
GCF_003217235.1_ASM321723v1_genomic	Phyllobacterium leguminum ORS 1419
GCF_003217325.1_ASM321732v1_genomic	Rhodopseudomonas faecalis JCM 11668
GCF_003234965.1_ASM323496v1_genomic	Aestuariivirga litoralis KCTC 52945
GCF_003240565.1_ASM324056v1_genomic	Rhizobium tumorigenes 1078
GCF_003240585.1_ASM324058v1_genomic	Rhizobium tubonense CCBAU 85046
GCF_003258765.1_ASM325876v1_genomic	Rhodoblastus acidophilus  DSM 137
GCF_003258805.1_ASM325880v1_genomic	Rhodoplanes elegans DSM 11907
GCF_003258835.1_ASM325883v1_genomic	Rhodobium orientis DSM 11290
GCF_003258855.1_ASM325885v1_genomic	Rhodoplanes piscinae DSM 19946
GCF_003258865.1_ASM325886v1_genomic	Rhodoplanes roseus DSM 5909
GCF_003258905.1_ASM325890v1_genomic	Afifella marina DSM 2698  DSM 2698
GCF_003259955.1_ASM325995v1_genomic	Falsochrobactrum ovis DSM 26720
GCF_003289945.1_ASM328994v1_genomic	Mesorhizobium hawassense AC99b
GCF_003314995.1_ASM331499v1_genomic	Pseudochrobactrum asaccharolyticum DSM 25619
GCF_003315135.1_ASM331513v1_genomic	Roseiarcus fermentans DSM 24875
GCF_003324485.1_ASM332448v1_genomic	Cohaesibacter intestini YE-B6
GCF_003332305.1_ASM333230v1_genomic	Microvirga aerophila DSM 21344
GCF_003335045.1_ASM333504v1_genomic	Phyllobacterium salinisoli LLAN61
GCF_003337575.1_ASM333757v1_genomic	Phyllobacterium bourgognense 31-25a
GCF_003337715.1_ASM333771v1_genomic	Ciceribacter lividus DSM 25528
GCF_003347665.1_ASM334766v1_genomic	Microvirga calopogonii CCBAU 65841
GCF_003350535.1_ASM335053v1_genomic	Microvirga subterranea DSM 14364
GCF_003367395.1_ASM336739v1_genomic	Pseudolabrys taiwanensis CC-BB4
GCF_003385925.1_ASM338592v1_genomic	Rhodopseudomonas pentothenatexigens  JA575
GCF_003387225.1_ASM338722v1_genomic	Methylovirgula ligni  BW863
GCF_003403015.1_ASM340301v1_genomic	Fulvimarina endophytica 85
GCF_003403035.1_ASM340303v1_genomic	Mesorhizobium denitrificans LA-28
GCF_003547145.1_ASM354714v1_genomic	Rhodopseudomonas palustris R1
GCF_003550175.1_ASM355017v1_genomic	Dichotomicrobium thermohalophilum DSM 5002
GCF_003574465.1_ASM357446v1_genomic	Methylobacterium crusticola MIMD6
GCF_003574655.1_ASM357465v1_genomic	Cohaesibacter haloalkalitolerans JC131
GCF_003583935.1_ASM358393v1_genomic	Aureimonas flava M2BS4Y-1
GCF_003601975.1_ASM360197v1_genomic	Mesorhizobium waimense ICMP19557
GCF_003601985.1_ASM360198v1_genomic	Mesorhizobium jarvisii LMG 28313
GCF_003610435.1_ASM361043v1_genomic	Pseudorhodoplanes sinuspersici CECT 8374
GCF_003627755.1_ASM362775v1_genomic	Rhizobium jaguaris CCGE525
GCF_003664555.1_ASM366455v1_genomic	Ochrobactrum soli BO-7
GCF_003667445.1_ASM366744v1_genomic	Xanthobacter tagetidis ATCC 700314
GCF_003668555.1_ASM366855v1_genomic	Notoacmeibacter ruber M2BS9Y-3-1
GCF_003722355.1_ASM372235v1_genomic	Methylocystis hirsuta CSC1
GCF_003863365.1_ASM386336v1_genomic	Mesorhizobium tamadayense DSM 28320
GCF_003934165.1_ASM393416v1_genomic	Pseudaminobacter arsenicus CB3
GCF_003938655.1_ASM393865v1_genomic	Rhizobium pisi DSM 30132
GCF_003939025.1_ASM393902v1_genomic	Rhizobium sophoriradicis CCBAU 03470
GCF_003952725.1_ASM395272v1_genomic	Georhizobium profundi WS11
GCF_003966715.1_ASM396671v1_genomic	Blastochloris tepida GI
GCF_003970795.1_ASM397079v1_genomic	Mesorhizobium carbonis B2.3
GCF_003985125.1_ASM398512v1_genomic	Rhizobium phaseoli ATCC 14482
GCF_003985135.1_ASM398513v1_genomic	Rhizobium fabae CCBAU 33202
